Ticker,TrailingPE,ForwardPE,actualRatio
MMM,29.735521,16.290472,0.547845521186597
AOS,15.554667,13.956415,0.8972493593080456
ABT,24.277311,14.292664,0.588725168120967
ACN,14.496314,11.873927,0.8190997380437538
ADBE,14.014569,9.114296,0.6503443666373186
AES,7.640625,6.141185,0.8037542740286299
AFL,13.350857,15.363593,1.1507570637600268
A,25.403973,17.53349,0.6901869246987469
APD,30.516335,20.331867,0.6662617578421524
ABNB,32.76049,21.949007,0.6699840875395943
ALLE,17.979507,13.788616,0.7669073462359117
LNT,23.169811,19.992239,0.8628572326291312
ALL,4.708407,8.118492,1.724254509009098
GOOGL,29.685495,26.866783,0.9050474987868655
GOOG,29.309977,26.587667,0.9071200226462136
MO,15.108561,12.334211,0.8163723203023769
AMZN,31.507126,26.907345,0.8540082329311788
AEE,19.969425,19.127207,0.9578246243945431
AEP,19.363903,19.088531,0.9857791066191562
AXP,19.383656,15.439718,0.7965328109413415
AIG,13.589789,8.678787,0.6386255886680802
AMT,29.830647,26.780596,0.8977544469618778
AWK,21.998222,18.865969,0.8576133562066971
AMP,11.35344,9.561138,0.8421357755887201
AME,34.65861,26.039171,0.7513045387567475
AMGN,23.345379,14.309263,0.6129377038599373
APH,39.988537,24.799158,0.6201566713981058
AON,17.52415,14.906427,0.8506219702524802
APA,8.741259,8.880364,1.015913611528957
AAPL,37.373333,32.091232,0.8586665791889633
AMAT,42.79304,28.209322,0.6592035059906939
APP,44.67767,23.45307,0.5249394160438537
ACGL,7.336154,9.631884,1.3129337252189635
ANET,54.298965,35.511612,0.6540016370477779
AIZ,13.115267,11.394028,0.868760658856583
T,8.230264,9.799544,1.1906718909624283
ATO,21.85978,19.903015,0.9104856041552111
ADP,20.368471,17.90717,0.8791612291369343
AZO,21.720102,17.736324,0.8165856679678576
AVB,22.907179,37.992275,1.6585313713225012
AVY,17.995495,14.311187,0.795264981596783
BKR,21.319489,23.979275,1.124758431123748
BALL,16.48688,12.510951,0.7588428495870656
BAC,12.952853,10.337739,0.7981051742037063
BBY,12.543652,9.033584,0.720171764969245
BIIB,20.76129,11.635594,0.560446581113216
BLK,27.138538,17.76562,0.6546270104896585
BX,30.28718,15.67597,0.5175777342096557
BNY,17.5,14.592385,0.8338505714285714
BA,86.1811,52.350513,0.6074477234567672
BKNG,21.515152,13.272053,0.6168700551127875
BSX,24.117153,15.316263,0.6350775732110668
BMY,16.254902,9.40444,0.5785602398587206
BR,15.716577,14.121145,0.8984873105638715
BRO,18.563519,11.715057,0.6310795383138295
BXP,30.457287,28.519802,0.9363868160680233
CHRW,35.941418,24.240566,0.6744465674670933
CPT,30.094973,88.0754,2.926581791583598
CPB,10.940217,9.348789,0.8545341468089709
CAH,30.637613,16.728935,0.5460260562727259
CCL,11.76652,10.273353,0.8731003729224954
CVNA,40.549133,33.219364,0.8192373434963456
CASY,46.491096,40.06641,0.8618082481858461
CAT,45.291626,30.475042,0.6728626170321198
CBOE,30.246586,24.60851,0.813596284883193
CDW,13.226552,9.490988,0.7175708378116987
COR,20.733538,13.6924095,0.6603990838418412
CNP,26.337423,20.620192,0.78292367480296
CF,10.735135,11.350572,1.0573292278112945
SCHW,17.77336,12.384108,0.6967792246373223
CHTR,3.896104,3.2566617,0.8358764807099606
CMG,29.642202,23.80251,0.802993988098455
CB,11.516277,11.124838,0.9660099353289262
CHD,31.799341,24.10675,0.7580896094670642
CI,2.4694862,8.385395,3.3956031015682537
CINF,9.556064,18.190174,1.9035215754101271
CTAS,36.094936,31.525646,0.8734091120150483
CSCO,39.443333,24.816181,0.6291603450448774
C,15.6810875,10.125067,0.645686531626075
CFG,15.082939,9.925292,0.6580476126038831
CLX,15.647155,15.286833,0.9769720437996556
CME,24.128096,21.893755,0.907396712944113
CMS,20.554016,17.783957,0.865230279085119
KO,25.301886,23.096598,0.9128409637131398
CTSH,11.238611,8.410482,0.7483560023565189
COIN,66.180145,36.331745,0.548982553604257
CL,34.82558,22.2341,0.6384416282514175
CMCSA,4.9313726,6.597154,1.337792646209698
FIX,54.516933,35.95504,0.659520593353995
COP,19.757627,12.736522,0.6446382452710541
ED,18.161888,16.596218,0.9137936540518254
STZ,15.363164,11.845039,0.7710025747300491
CEG,26.223478,22.188557,0.8461332627197659
CPRT,20.90566,19.571592,0.936186276826467
CPAY,20.934729,11.422909,0.5456439870800334
COST,52.154446,44.48534,0.8529539360843753
CRH,18.944342,15.280712,0.8066108603824825
CCI,38.244728,30.607662,0.8003106205906341
CSX,28.595093,21.547977,0.7535550592543973
CMI,34.74026,20.028645,0.5765254779325198
DHR,33.49031,19.000864,0.5673540794337227
DRI,21.501057,17.92385,0.833626458457368
DVA,18.841042,11.382472,0.6041317672345298
DECK,15.874644,13.408542,0.8446515084054799
DE,29.944538,23.104214,0.7715668880915778
DELL,35.14746,20.416412,0.5808787320620039
DAL,11.589781,9.85429,0.8502567908746508
DVN,12.573816,8.422459,0.6698411206271827
DXCM,30.90558,23.529142,0.7613234244430941
DLR,51.507977,67.6189,1.3127850080386578
DG,15.125547,13.02651,0.8612257130271058
DLTR,15.77441,12.722421,0.8065227796158463
D,19.846607,17.64092,0.8888632701801372
DPZ,17.860762,14.814526,0.8294453506518926
DOV,26.925,18.605423,0.6910092107706591
DHI,13.671363,12.096952,0.8848387684534453
DTE,23.825369,17.316193,0.7267964244331325
DUK,19.226154,17.433895,0.9067801599841548
ETN,39.48384,25.641663,0.6494217127817355
EBAY,26.630486,17.046698,0.6401196733698363
ECL,34.355404,26.4805,0.7707812139248893
EIX,7.7434783,10.938005,1.4125441534458747
EW,47.31892,26.015556,0.5497918380216624
ELV,16.434322,13.2609625,0.8069065763710848
EME,28.906376,26.563066,0.9189344938985087
EMR,32.631943,19.70407,0.603827666651661
ETR,28.563776,22.283564,0.7801336910077995
