2026-05-27 00:26:13,221 ERROR: Failed to fetch S&P 500 tickers: HTTP Error 403: Forbidden
2026-05-27 00:26:13,241 INFO: Saved 0 results to good_forward_pe_results_20260527_002613.csv.
2026-05-27 00:28:47,519 INFO: Fetched 503 S&P 500 tickers from Wikipedia.
2026-05-27 00:28:48,530 INFO: MMM: TrailingPE=29.735521, ForwardPE=16.290472
2026-05-27 00:28:49,022 INFO: AOS: TrailingPE=15.554667, ForwardPE=13.956415
2026-05-27 00:28:49,540 INFO: ABT: TrailingPE=24.277311, ForwardPE=14.292664
2026-05-27 00:28:50,085 INFO: ABBV: TrailingPE=103.960976, ForwardPE=13.131424
2026-05-27 00:28:50,798 INFO: ACN: TrailingPE=14.496314, ForwardPE=11.873927
2026-05-27 00:28:51,462 INFO: ADBE: TrailingPE=14.014569, ForwardPE=9.114296
2026-05-27 00:28:52,008 INFO: AMD: TrailingPE=168.52509, ForwardPE=38.881783
2026-05-27 00:28:52,525 INFO: AES: TrailingPE=7.640625, ForwardPE=6.141185
2026-05-27 00:28:53,065 INFO: AFL: TrailingPE=13.350857, ForwardPE=15.363593
2026-05-27 00:28:53,564 INFO: A: TrailingPE=25.403973, ForwardPE=17.53349
2026-05-27 00:28:54,073 INFO: APD: TrailingPE=30.516335, ForwardPE=20.331867
2026-05-27 00:28:54,576 INFO: ABNB: TrailingPE=32.76049, ForwardPE=21.949007
2026-05-27 00:28:55,107 INFO: AKAM: TrailingPE=50.070946, ForwardPE=20.613583
2026-05-27 00:28:55,606 INFO: ALB: TrailingPE=None, ForwardPE=14.72835
2026-05-27 00:28:56,153 INFO: ARE: TrailingPE=None, ForwardPE=-55.079548
2026-05-27 00:28:56,871 INFO: ALGN: TrailingPE=27.441275, ForwardPE=13.212948
2026-05-27 00:28:57,408 INFO: ALLE: TrailingPE=17.979507, ForwardPE=13.788616
2026-05-27 00:28:57,966 INFO: LNT: TrailingPE=23.169811, ForwardPE=19.992239
2026-05-27 00:28:58,492 INFO: ALL: TrailingPE=4.708407, ForwardPE=8.118492
2026-05-27 00:28:59,009 INFO: GOOGL: TrailingPE=29.685495, ForwardPE=26.866783
2026-05-27 00:28:59,488 INFO: GOOG: TrailingPE=29.309977, ForwardPE=26.587667
2026-05-27 00:28:59,989 INFO: MO: TrailingPE=15.108561, ForwardPE=12.334211
2026-05-27 00:29:00,496 INFO: AMZN: TrailingPE=31.507126, ForwardPE=26.907345
2026-05-27 00:29:00,987 INFO: AMCR: TrailingPE=31.411291, ForwardPE=9.0844
2026-05-27 00:29:01,495 INFO: AEE: TrailingPE=19.969425, ForwardPE=19.127207
2026-05-27 00:29:02,032 INFO: AEP: TrailingPE=19.363903, ForwardPE=19.088531
2026-05-27 00:29:02,707 INFO: AXP: TrailingPE=19.383656, ForwardPE=15.439718
2026-05-27 00:29:03,248 INFO: AIG: TrailingPE=13.589789, ForwardPE=8.678787
2026-05-27 00:29:03,767 INFO: AMT: TrailingPE=29.830647, ForwardPE=26.780596
2026-05-27 00:29:04,270 INFO: AWK: TrailingPE=21.998222, ForwardPE=18.865969
2026-05-27 00:29:04,766 INFO: AMP: TrailingPE=11.35344, ForwardPE=9.561138
2026-05-27 00:29:05,443 INFO: AME: TrailingPE=34.65861, ForwardPE=26.039171
2026-05-27 00:29:06,019 INFO: AMGN: TrailingPE=23.345379, ForwardPE=14.309263
2026-05-27 00:29:06,518 INFO: APH: TrailingPE=39.988537, ForwardPE=24.799158
2026-05-27 00:29:07,213 INFO: ADI: TrailingPE=62.5842, ForwardPE=28.425549
2026-05-27 00:29:07,723 INFO: AON: TrailingPE=17.52415, ForwardPE=14.906427
2026-05-27 00:29:08,267 INFO: APA: TrailingPE=8.741259, ForwardPE=8.880364
2026-05-27 00:29:08,755 INFO: APO: TrailingPE=81.70441, ForwardPE=12.242079
2026-05-27 00:29:09,428 INFO: AAPL: TrailingPE=37.373333, ForwardPE=32.091232
2026-05-27 00:29:09,930 INFO: AMAT: TrailingPE=42.79304, ForwardPE=28.209322
2026-05-27 00:29:10,432 INFO: APP: TrailingPE=44.67767, ForwardPE=23.45307
2026-05-27 00:29:10,921 INFO: APTV: TrailingPE=34.976192, ForwardPE=8.64152
2026-05-27 00:29:11,460 INFO: ACGL: TrailingPE=7.336154, ForwardPE=9.631884
2026-05-27 00:29:11,948 INFO: ADM: TrailingPE=34.825893, ForwardPE=15.0259075
2026-05-27 00:29:12,611 INFO: ARES: TrailingPE=57.999996, ForwardPE=17.113842
2026-05-27 00:29:13,116 INFO: ANET: TrailingPE=54.298965, ForwardPE=35.511612
2026-05-27 00:29:13,584 INFO: AJG: TrailingPE=33.00324, ForwardPE=13.73456
2026-05-27 00:29:14,078 INFO: AIZ: TrailingPE=13.115267, ForwardPE=11.394028
2026-05-27 00:29:14,577 INFO: T: TrailingPE=8.230264, ForwardPE=9.799544
2026-05-27 00:29:15,305 INFO: ATO: TrailingPE=21.85978, ForwardPE=19.903015
2026-05-27 00:29:15,971 INFO: ADSK: TrailingPE=45.550667, ForwardPE=16.88127
2026-05-27 00:29:16,757 INFO: ADP: TrailingPE=20.368471, ForwardPE=17.90717
2026-05-27 00:29:17,457 INFO: AZO: TrailingPE=21.720102, ForwardPE=17.736324
2026-05-27 00:29:18,129 INFO: AVB: TrailingPE=22.907179, ForwardPE=37.992275
2026-05-27 00:29:18,662 INFO: AVY: TrailingPE=17.995495, ForwardPE=14.311187
2026-05-27 00:29:19,154 INFO: AXON: TrailingPE=155.9919, ForwardPE=36.440636
2026-05-27 00:29:19,667 INFO: BKR: TrailingPE=21.319489, ForwardPE=23.979275
2026-05-27 00:29:20,168 INFO: BALL: TrailingPE=16.48688, ForwardPE=12.510951
2026-05-27 00:29:20,649 INFO: BAC: TrailingPE=12.952853, ForwardPE=10.337739
2026-05-27 00:29:21,120 INFO: BAX: TrailingPE=None, ForwardPE=9.635942
2026-05-27 00:29:21,664 INFO: BDX: TrailingPE=25.78534, ForwardPE=10.989012
2026-05-27 00:29:22,140 INFO: BRK.B: TrailingPE=None, ForwardPE=None
2026-05-27 00:29:22,676 INFO: BBY: TrailingPE=12.543652, ForwardPE=9.033584
2026-05-27 00:29:23,168 INFO: TECH: TrailingPE=68.52857, ForwardPE=23.238691
2026-05-27 00:29:23,653 INFO: BIIB: TrailingPE=20.76129, ForwardPE=11.635594
2026-05-27 00:29:24,184 INFO: BLK: TrailingPE=27.138538, ForwardPE=17.76562
2026-05-27 00:29:24,863 INFO: BX: TrailingPE=30.28718, ForwardPE=15.67597
2026-05-27 00:29:25,373 INFO: XYZ: TrailingPE=54.039062, ForwardPE=13.924145
2026-05-27 00:29:25,882 INFO: BNY: TrailingPE=17.5, ForwardPE=14.592385
2026-05-27 00:29:26,356 INFO: BA: TrailingPE=86.1811, ForwardPE=52.350513
2026-05-27 00:29:26,884 INFO: BKNG: TrailingPE=21.515152, ForwardPE=13.272053
2026-05-27 00:29:27,387 INFO: BSX: TrailingPE=24.117153, ForwardPE=15.316263
2026-05-27 00:29:27,903 INFO: BMY: TrailingPE=16.254902, ForwardPE=9.40444
2026-05-27 00:29:28,415 INFO: AVGO: TrailingPE=82.10312, ForwardPE=23.112387
2026-05-27 00:29:28,906 INFO: BR: TrailingPE=15.716577, ForwardPE=14.121145
2026-05-27 00:29:29,391 INFO: BRO: TrailingPE=18.563519, ForwardPE=11.715057
2026-05-27 00:29:29,861 INFO: BF.B: TrailingPE=None, ForwardPE=None
2026-05-27 00:29:30,606 INFO: BLDR: TrailingPE=28.400766, ForwardPE=12.65515
2026-05-27 00:29:31,382 INFO: BG: TrailingPE=31.605263, ForwardPE=11.032529
2026-05-27 00:29:31,927 INFO: BXP: TrailingPE=30.457287, ForwardPE=28.519802
2026-05-27 00:29:32,428 INFO: CHRW: TrailingPE=35.941418, ForwardPE=24.240566
2026-05-27 00:29:32,973 INFO: CDNS: TrailingPE=88.77907, ForwardPE=40.695343
